code,enabled
af_ZA,False
am_ET,False
ar_AE,False
ar_BH,False
ar_DZ,False
ar_EG,False
ar_IQ,False
ar_JO,False
ar_KW,False
ar_LB,False
ar_LY,False
ar_MA,False
ar_OM,False
ar_QA,False
ar_SA,False
ar_SY,False
ar_TN,False
ar_YE,False
arn_CL,False
as_IN,False
az_Cyrl_AZ,False
az_Latn_AZ,False
ba_RU,False
be_BY,False
bg_BG,False
bn_BD,False
bn_IN,False
bo_CN,False
br_FR,False
bs_Cyrl_BA,False
bs_Latn_BA,False
ca_ES,False
co_FR,False
cs_CZ,False
cy_GB,False
da_DK,False
de_AT,False
de_CH,False
de_DE,True
de_LI,False
de_LU,False
dsb_DE,False
dv_MV,False
el_GR,False
en_029,False
en_AU,False
en_BZ,False
en_CA,False
en_GB,False
en_IE,False
en_IN,False
en_JM,False
en_MY,False
en_NZ,False
en_PH,False
en_SG,False
en_TT,False
en_US,True
en_ZA,False
en_ZW,False
es_AR,False
es_BO,False
es_CL,False
es_CO,False
es_CR,False
es_DO,False
es_EC,False
es_ES,False
es_GT,False
es_HN,False
es_MX,False
es_NI,False
es_PA,False
es_PE,False
es_PR,False
es_PY,False
es_SV,False
es_US,False
es_UY,False
es_VE,False
et_EE,False
eu_ES,False
fa_IR,False
fi_FI,False
fil_PH,False
fo_FO,False
fr_BE,False
fr_CA,False
fr_CH,False
fr_FR,True
fr_LU,False
fr_MC,False
fy_NL,False
ga_IE,False
gd_GB,False
gl_ES,False
gsw_FR,False
gu_IN,False
ha_Latn_NG,False
he_IL,False
hi_IN,False
hr_BA,False
hr_HR,False
hsb_DE,False
hu_HU,False
hy_AM,False
id_ID,False
ig_NG,False
ii_CN,False
is_IS,False
it_CH,False
it_IT,False
iu_Cans_CA,False
iu_Latn_CA,False
ja_JP,False
ka_GE,False
kk_KZ,False
kl_GL,False
km_KH,False
kn_IN,False
ko_KR,False
kok_IN,False
ky_KG,False
lb_LU,False
lo_LA,False
lt_LT,False
lv_LV,False
mi_NZ,False
mk_MK,False
ml_IN,False
mn_MN,False
mn_Mong_CN,False
moh_CA,False
mr_IN,False
ms_BN,False
ms_MY,False
mt_MT,False
nb_NO,False
ne_NP,False
nl_BE,False
nl_NL,False
nn_NO,False
nso_ZA,False
oc_FR,False
or_IN,False
pa_IN,False
pl_PL,False
prs_AF,False
ps_AF,False
pt_BR,False
pt_PT,False
qut_GT,False
quz_BO,False
quz_EC,False
quz_PE,False
rm_CH,False
ro_RO,False
ru_RU,False
rw_RW,False
sa_IN,False
sah_RU,False
se_FI,False
se_NO,False
se_SE,False
si_LK,False
sk_SK,False
sl_SI,False
sma_NO,False
sma_SE,False
smj_NO,False
smj_SE,False
smn_FI,False
sms_FI,False
sq_AL,False
sr_Cyrl_BA,False
sr_Cyrl_CS,False
sr_Cyrl_ME,False
sr_Cyrl_RS,False
sr_Latn_BA,False
sr_Latn_CS,False
sr_Latn_ME,False
sr_Latn_RS,False
sv_FI,False
sv_SE,False
sw_KE,False
syr_SY,False
ta_IN,False
te_IN,False
tg_Cyrl_TJ,False
th_TH,False
tk_TM,False
tn_ZA,False
tr_TR,False
tt_RU,False
tzm_Latn_DZ,False
ug_CN,False
uk_UA,False
ur_PK,False
uz_Cyrl_UZ,False
uz_Latn_UZ,False
vi_VN,False
wo_SN,False
xh_ZA,False
yo_NG,False
zh_CN,False
zh_HK,False
zh_MO,False
zh_SG,False
zh_TW,False
zu_ZA,False
