code,labels,attributes,attribute_requirements
accessories,"{'en_US': 'Accessories', 'fr_FR': 'Accessories', 'de_DE': 'Accessories'}","['brand', 'collection', 'color', 'composition', 'description', 'ean', 'erp_name', 'image', 'keywords', 'material', 'meta_description', 'meta_title', 'name', 'notice', 'price', 'size', 'sku', 'supplier', 'variation_image', 'variation_name', 'weight']","{'ecommerce': ['collection', 'description', 'ean', 'image', 'name', 'sku', 'variation_name'], 'mobile': ['collection', 'ean', 'image', 'name', 'sku', 'variation_name'], 'print': ['collection', 'ean', 'image', 'name', 'sku', 'variation_name']}"
camcorders,"{'en_US': 'Camcorders', 'fr_FR': 'Caméscopes numériques', 'de_DE': 'Digitale Videokameras'}","['description', 'image_stabilizer', 'name', 'optical_zoom', 'picture', 'power_requirements', 'price', 'release_date', 'sensor_type', 'sku', 'total_megapixels', 'weight']","{'ecommerce': ['description', 'name', 'price', 'sensor_type', 'sku', 'total_megapixels'], 'mobile': ['description', 'name', 'price', 'sensor_type', 'sku', 'total_megapixels'], 'print': ['description', 'name', 'price', 'sensor_type', 'sku', 'total_megapixels']}"
clothing,"{'en_US': 'Clothing', 'fr_FR': 'Clothing', 'de_DE': 'Clothing'}","['brand', 'care_instructions', 'collection', 'color', 'composition', 'description', 'ean', 'erp_name', 'image', 'keywords', 'material', 'meta_description', 'meta_title', 'name', 'notice', 'price', 'size', 'sku', 'supplier', 'variation_image', 'variation_name', 'wash_temperature', 'weight']","{'ecommerce': ['collection', 'color', 'description', 'ean', 'size', 'sku', 'variation_image', 'variation_name'], 'mobile': ['collection', 'color', 'ean', 'size', 'sku', 'variation_image', 'variation_name'], 'print': ['collection', 'color', 'ean', 'size', 'sku', 'variation_image', 'variation_name']}"
digital_cameras,"{'en_US': 'Digital cameras', 'fr_FR': 'Caméras digitales', 'de_DE': 'Digitale Kameras'}","['auto_exposure', 'auto_focus_assist_beam', 'auto_focus_lock', 'auto_focus_modes', 'auto_focus_points', 'camera_brand', 'camera_model_name', 'camera_type', 'description', 'focus', 'focus_adjustement', 'image_resolutions', 'iso_sensitivity', 'iso_sensitivity_max', 'iso_sensitivity_min', 'lens_mount_interface', 'light_exposure_corrections', 'light_exposure_modes', 'light_metering', 'max_image_resolution', 'name', 'optical_zoom', 'picture', 'power_requirements', 'price', 'release_date', 'sensor_type', 'short_description', 'sku', 'supported_aspect_ratios', 'supported_image_format', 'total_megapixels', 'weight']","{'ecommerce': ['auto_exposure', 'auto_focus_assist_beam', 'auto_focus_lock', 'auto_focus_modes', 'auto_focus_points', 'camera_brand', 'camera_model_name', 'camera_type', 'description', 'focus', 'focus_adjustement', 'image_resolutions', 'iso_sensitivity', 'iso_sensitivity_max', 'iso_sensitivity_min', 'lens_mount_interface', 'light_exposure_corrections', 'light_exposure_modes', 'light_metering', 'max_image_resolution', 'name', 'price', 'sensor_type', 'short_description', 'sku', 'supported_aspect_ratios', 'supported_image_format', 'total_megapixels'], 'mobile': ['camera_type', 'description', 'name', 'price', 'sensor_type', 'sku', 'total_megapixels'], 'print': ['camera_type', 'description', 'name', 'sensor_type', 'sku', 'total_megapixels']}"
headphones,"{'en_US': 'Headphones', 'fr_FR': 'Casques audio', 'de_DE': 'Kopfhörer'}","['description', 'headphone_connectivity', 'name', 'picture', 'power_requirements', 'price', 'release_date', 'sku', 'snr', 'thd', 'weight']","{'ecommerce': ['description', 'name', 'price', 'sku'], 'mobile': ['description', 'name', 'price', 'sku'], 'print': ['description', 'name', 'price', 'sku']}"
laser_led_printers,"{'en_US': 'Laser and LED printers', 'fr_FR': 'Imprimantes laser et LED', 'de_DE': 'Laserdrucker'}","['description', 'maximum_print_size', 'name', 'picture', 'power_requirements', 'price', 'release_date', 'sku', 'weight']","{'ecommerce': ['description', 'maximum_print_size', 'name', 'price', 'sku'], 'mobile': ['description', 'maximum_print_size', 'name', 'price', 'sku'], 'print': ['description', 'maximum_print_size', 'name', 'price', 'sku']}"
led_tvs,"{'en_US': 'LED TVs', 'fr_FR': 'TVs LED', 'de_DE': 'TVs LED'}","['description', 'display_diagonal', 'name', 'picture', 'power_requirements', 'price', 'release_date', 'sku', 'weight']","{'ecommerce': ['description', 'display_diagonal', 'name', 'sku'], 'mobile': ['description', 'display_diagonal', 'name', 'sku'], 'print': ['description', 'display_diagonal', 'name', 'sku']}"
loudspeakers,"{'en_US': 'Loudspeakers', 'fr_FR': 'Hauts-parleurs', 'de_DE': 'Lautsprecher'}","['description', 'name', 'picture', 'power_requirements', 'price', 'release_date', 'sku', 'weight']","{'ecommerce': ['description', 'name', 'price', 'sku'], 'mobile': ['description', 'name', 'price', 'sku'], 'print': ['description', 'name', 'price', 'sku']}"
mp3_players,"{'en_US': 'MP3 players', 'fr_FR': 'Lecteurs et enregistreurs MP3', 'de_DE': 'MP3/MP4 Player'}","['description', 'name', 'picture', 'power_requirements', 'price', 'release_date', 'sku', 'weight']","{'ecommerce': ['description', 'name', 'price', 'sku'], 'mobile': ['description', 'name', 'price', 'sku'], 'print': ['description', 'name', 'price', 'sku']}"
mugs,"{'en_US': 'Mugs', 'fr_FR': 'Chopes/Mugs', 'de_DE': 'Tassen'}","['container_material', 'description', 'main_color', 'name', 'picture', 'price', 'secondary_color', 'sku']","{'ecommerce': ['container_material', 'description', 'main_color', 'name', 'price', 'sku'], 'mobile': ['description', 'main_color', 'name', 'price', 'sku'], 'print': ['description', 'name', 'price', 'sku']}"
