code,sort_order,attributes,labels
color,8,"['main_color', 'secondary_color']","{'en_US': 'Color', 'fr_FR': 'Couleur', 'de_DE': 'Farbe'}"
design,3,['tshirt_style'],"{'en_US': 'Design', 'fr_FR': 'Style', 'de_DE': 'Stil'}"
ecommerce,6,"['meta_title', 'meta_description', 'keywords']","{'en_US': 'Ecommerce', 'fr_FR': 'Ecommerce', 'de_DE': 'Ecommerce'}"
erp,1,"['sku', 'price', 'erp_name', 'ean', 'supplier']","{'en_US': 'ERP', 'fr_FR': 'ERP', 'de_DE': 'ERP'}"
manufacturing,6,"['container_material', 'tshirt_materials']","{'en_US': 'Manufacturing', 'fr_FR': 'Fabrication', 'de_DE': 'Herstellung'}"
marketing,0,"['name', 'description', 'response_time', 'release_date', 'variation_name', 'variation_description', 'collection', 'brand']","{'en_US': 'Marketing', 'fr_FR': 'Marketing', 'de_DE': 'Marketing'}"
medias,9,"['picture', 'pdf_description', 'image', 'notice', 'variation_image']","{'en_US': 'Media', 'fr_FR': 'Media', 'de_DE': 'Media'}"
other,10,[],"{'en_US': 'Other', 'fr_FR': 'Autre', 'de_DE': 'Ander'}"
product,4,"['composition', 'wash_temperature', 'care_instructions', 'color', 'size', 'eu_shoes_size', 'sole_composition', 'top_composition', 'material']","{'en_US': 'Product', 'fr_FR': 'Produit', 'de_DE': 'Product'}"
size,8,['clothing_size'],"{'en_US': 'Size', 'fr_FR': 'Taille', 'de_DE': 'Größe'}"
technical,2,"['weight', 'maximum_scan_size', 'color_scanning', 'power_requirements', 'maximum_print_size', 'sensor_type', 'total_megapixels', 'optical_zoom', 'image_stabilizer', 'camera_type', 'thd', 'snr', 'headphone_connectivity', 'maximum_video_resolution', 'maximum_frame_rate', 'multifunctional_functions', 'display_srgb', 'display_color', 'display_diagonal', 'viewing_area', 'camera_brand', 'camera_model_name', 'short_description', 'max_image_resolution', 'image_resolutions', 'supported_aspect_ratios', 'supported_image_format', 'lens_mount_interface', 'focus', 'focus_adjustement', 'auto_focus_modes', 'auto_focus_points', 'auto_focus_lock', 'auto_focus_assist_beam', 'iso_sensitivity', 'light_exposure_modes', 'light_exposure_corrections', 'light_metering', 'auto_exposure', 'iso_sensitivity_max', 'iso_sensitivity_min']","{'en_US': 'Technical', 'fr_FR': 'Technique', 'de_DE': 'Technische'}"
