code,parent,labels
master,,"{'en_US': 'Master catalog', 'de_DE': 'Hauptkatalog', 'fr_FR': 'Catalogue principal'}"
tvs_projectors,master,"{'en_US': 'TVs and projectors', 'de_DE': 'TVs und projectoren', 'fr_FR': 'Téléviseurs et projecteurs'}"
pc_monitors,tvs_projectors,"{'en_US': 'PC Monitors', 'de_DE': 'PC Monitoren', 'fr_FR': 'Moniteurs PC'}"
led_tvs,tvs_projectors,"{'en_US': 'LED TVs', 'de_DE': 'TVs LED', 'fr_FR': 'Télévisions LED'}"
cameras,master,"{'en_US': 'Cameras', 'de_DE': 'Cameras', 'fr_FR': 'Caméras'}"
digital_cameras,cameras,"{'en_US': 'Digital cameras', 'de_DE': 'Digitale Kameras', 'fr_FR': 'Caméras digitales'}"
camcorders,cameras,"{'en_US': 'Camcorders', 'de_DE': 'Digitale Videokameras', 'fr_FR': 'Caméscopes numériques'}"
webcams,cameras,"{'en_US': 'Webcams', 'de_DE': 'Webcams', 'fr_FR': 'Webcams'}"
audio_video,master,"{'en_US': 'Audio and Video', 'de_DE': 'Audio und Video', 'fr_FR': 'Audio et Video'}"
headphones,audio_video,"{'en_US': 'Headphones', 'de_DE': 'Kopfhörer', 'fr_FR': 'Casques audio'}"
mp3_players,audio_video,"{'en_US': 'MP3 players', 'de_DE': 'MP3/MP4 Player', 'fr_FR': 'Lecteurs et enregistreurs MP3'}"
loudspeakers,audio_video,"{'en_US': 'Loudspeakers', 'de_DE': 'Lautsprecher', 'fr_FR': 'Hauts-parleurs'}"
print_scan,master,"{'en_US': 'Print and scan', 'de_DE': 'Drucken und Scannen', 'fr_FR': 'Imprimantes et scanners'}"
multifunctionals,print_scan,"{'en_US': 'Multifunctionals', 'de_DE': 'Multifunktionsgeräte', 'fr_FR': 'Multifonctions'}"
laser_led_printers,print_scan,"{'en_US': 'Laser and LED printers', 'de_DE': 'Laserdrucker', 'fr_FR': 'Imprimantes laser et LED'}"
scanners,print_scan,"{'en_US': 'Scanners', 'de_DE': 'Scanners', 'fr_FR': 'Scanners'}"
clothes,master,"{'en_US': 'Clothes', 'de_DE': 'Kleidung', 'fr_FR': 'Vêtements'}"
pants,clothes,"{'en_US': 'Pants', 'de_DE': 'Hose', 'fr_FR': 'Pantalons'}"
jeans,pants,"{'en_US': 'Jeans', 'de_DE': 'Jeans', 'fr_FR': 'Jeans'}"
shoes,clothes,"{'en_US': 'Shoes', 'de_DE': 'Schuhe', 'fr_FR': 'Chaussures'}"
clothes_accessories,clothes,"{'en_US': 'Accessories', 'de_DE': 'Zubehör', 'fr_FR': 'Accessoires'}"
caps,clothes_accessories,"{'en_US': 'Caps', 'de_DE': 'Kappe', 'fr_FR': 'Bonnets'}"
ties,clothes_accessories,"{'en_US': 'Ties', 'de_DE': 'Binden', 'fr_FR': 'Cravates'}"
gloves,clothes_accessories,"{'en_US': 'Gloves', 'de_DE': 'Handschuhe', 'fr_FR': 'Gants'}"
belts,clothes_accessories,"{'en_US': 'Belts', 'de_DE': 'Gürtel', 'fr_FR': 'Ceintures'}"
sweat,clothes,"{'en_US': 'Sweat', 'de_DE': 'Pull', 'fr_FR': 'Pullover'}"
coats,clothes,"{'en_US': 'Coats', 'de_DE': 'Mäntel', 'fr_FR': 'Manteaux'}"
underwear,clothes,"{'en_US': 'Underwear', 'de_DE': 'Unterwäsche', 'fr_FR': 'Sous-vêtements'}"
office,master,"{'en_US': 'Office', 'de_DE': 'Büro', 'fr_FR': 'Bureau'}"
