code,standard,units
Angle,RADIAN,"[{'code': 'RADIAN', 'convert': {'mul': '1'}, 'symbol': 'rad'}, {'code': 'MILLIRADIAN', 'convert': {'mul': '0.001'}, 'symbol': 'mrad'}, {'code': 'MICRORADIAN', 'convert': {'mul': '0.000001'}, 'symbol': 'µrad'}, {'code': 'DEGREE', 'convert': {'mul': '0.01745329'}, 'symbol': '°'}, {'code': 'MINUTE', 'convert': {'mul': '0.0002908882'}, 'symbol': ""'""}, {'code': 'SECOND', 'convert': {'mul': '0.000004848137'}, 'symbol': '""'}, {'code': 'GON', 'convert': {'mul': '0.01570796'}, 'symbol': 'gon'}, {'code': 'MIL', 'convert': {'mul': '0.0009817477'}, 'symbol': 'mil'}, {'code': 'REVOLUTION', 'convert': {'mul': '6.283185'}, 'symbol': 'rev'}]"
Area,SQUARE_METER,"[{'code': 'SQUARE_MILLIMETER', 'convert': {'mul': '0.000001'}, 'symbol': 'mm²'}, {'code': 'SQUARE_CENTIMETER', 'convert': {'mul': '0.0001'}, 'symbol': 'cm²'}, {'code': 'SQUARE_DECIMETER', 'convert': {'mul': '0.01'}, 'symbol': 'dm²'}, {'code': 'SQUARE_METER', 'convert': {'mul': '1'}, 'symbol': 'm²'}, {'code': 'CENTIARE', 'convert': {'mul': '1'}, 'symbol': 'ca'}, {'code': 'SQUARE_DEKAMETER', 'convert': {'mul': '100'}, 'symbol': 'dam²'}, {'code': 'ARE', 'convert': {'mul': '100'}, 'symbol': 'a'}, {'code': 'SQUARE_HECTOMETER', 'convert': {'mul': '10000'}, 'symbol': 'hm²'}, {'code': 'HECTARE', 'convert': {'mul': '10000'}, 'symbol': 'ha'}, {'code': 'SQUARE_KILOMETER', 'convert': {'mul': '1000000'}, 'symbol': 'km²'}, {'code': 'SQUARE_MIL', 'convert': {'mul': '0.00000000064516'}, 'symbol': 'sq mil'}, {'code': 'SQUARE_INCH', 'convert': {'mul': '0.00064516'}, 'symbol': 'in²'}, {'code': 'SQUARE_FOOT', 'convert': {'mul': '0.09290304'}, 'symbol': 'ft²'}, {'code': 'SQUARE_YARD', 'convert': {'mul': '0.83612736'}, 'symbol': 'yd²'}, {'code': 'ARPENT', 'convert': {'mul': '3418.89'}, 'symbol': 'arpent'}, {'code': 'ACRE', 'convert': {'mul': '4046.856422'}, 'symbol': 'A'}, {'code': 'SQUARE_FURLONG', 'convert': {'mul': '40468.726'}, 'symbol': 'fur²'}, {'code': 'SQUARE_MILE', 'convert': {'mul': '2589988.110336'}, 'symbol': 'mi²'}]"
Binary,BYTE,"[{'code': 'CHAR', 'convert': {'mul': '8'}, 'symbol': 'char'}, {'code': 'KILOBIT', 'convert': {'mul': '125'}, 'symbol': 'kbit'}, {'code': 'MEGABIT', 'convert': {'mul': '125000'}, 'symbol': 'Mbit'}, {'code': 'GIGABIT', 'convert': {'mul': '125000000'}, 'symbol': 'Gbit'}, {'code': 'BIT', 'convert': {'mul': '0.125'}, 'symbol': 'b'}, {'code': 'BYTE', 'convert': {'mul': '1'}, 'symbol': 'B'}, {'code': 'KILOBYTE', 'convert': {'mul': '1024'}, 'symbol': 'kB'}, {'code': 'MEGABYTE', 'convert': {'mul': '1048576'}, 'symbol': 'MB'}, {'code': 'GIGABYTE', 'convert': {'mul': '1073741824'}, 'symbol': 'GB'}, {'code': 'TERABYTE', 'convert': {'mul': '1099511627776'}, 'symbol': 'TB'}]"
Brightness,LUMEN,"[{'code': 'LUMEN', 'convert': {'mul': '1'}, 'symbol': 'lm'}, {'code': 'NIT', 'convert': {'mul': '0.2918855809'}, 'symbol': 'nits'}]"
Capacitance,FARAD,"[{'code': 'ATTOFARAD', 'convert': {'div': '1000000000000000000'}, 'symbol': 'aF'}, {'code': 'PICOFARAD', 'convert': {'div': '1000000000000'}, 'symbol': 'pF'}, {'code': 'NANOFARAD', 'convert': {'div': '1000000000'}, 'symbol': 'nF'}, {'code': 'MICROFARAD', 'convert': {'div': '1000000'}, 'symbol': 'µF'}, {'code': 'MILLIFARAD', 'convert': {'div': '1000'}, 'symbol': 'mF'}, {'code': 'FARAD', 'convert': {'mul': '1'}, 'symbol': 'F'}, {'code': 'KILOFARAD', 'convert': {'mul': '1000'}, 'symbol': 'kF'}]"
CaseBox,PIECE,"[{'code': 'PIECE', 'convert': {'mul': '1'}, 'symbol': 'Pc'}, {'code': 'DOZEN', 'convert': {'mul': '12'}, 'symbol': 'Dz'}]"
Decibel,DECIBEL,"[{'code': 'DECIBEL', 'convert': {'mul': '1'}, 'symbol': 'dB'}]"
Duration,SECOND,"[{'code': 'MILLISECOND', 'convert': {'mul': '0.001'}, 'symbol': 'ms'}, {'code': 'SECOND', 'convert': {'mul': '1'}, 'symbol': 's'}, {'code': 'MINUTE', 'convert': {'mul': '60'}, 'symbol': 'm'}, {'code': 'HOUR', 'convert': {'mul': '3600'}, 'symbol': 'h'}, {'code': 'DAY', 'convert': {'mul': '86400'}, 'symbol': 'd'}, {'code': 'WEEK', 'convert': {'mul': '604800'}, 'symbol': 'week'}, {'code': 'MONTH', 'convert': {'mul': '2628000'}, 'symbol': 'month'}, {'code': 'YEAR', 'convert': {'mul': '31536000'}, 'symbol': 'year'}]"
ElectricCharge,AMPEREHOUR,"[{'code': 'MILLIAMPEREHOUR', 'convert': {'mul': '0.001'}, 'symbol': 'mAh'}, {'code': 'AMPEREHOUR', 'convert': {'mul': '1'}, 'symbol': 'Ah'}, {'code': 'MILLICOULOMB', 'convert': {'div': '3600000'}, 'symbol': 'mC'}, {'code': 'CENTICOULOMB', 'convert': {'div': '360000'}, 'symbol': 'cC'}, {'code': 'DECICOULOMB', 'convert': {'div': '36000'}, 'symbol': 'dC'}, {'code': 'COULOMB', 'convert': {'div': '3600'}, 'symbol': 'C'}, {'code': 'DEKACOULOMB', 'convert': {'div': '360'}, 'symbol': 'daC'}, {'code': 'HECTOCOULOMB', 'convert': {'div': '36'}, 'symbol': 'hC'}, {'code': 'KILOCOULOMB', 'convert': {'div': '3.6'}, 'symbol': 'kC'}]"
Energy,JOULE,"[{'code': 'JOULE', 'convert': {'mul': '1'}, 'symbol': 'J'}, {'code': 'CALORIE', 'convert': {'mul': '4.184'}, 'symbol': 'cal'}, {'code': 'KILOCALORIE', 'convert': {'mul': '4184'}, 'symbol': 'kcal'}, {'code': 'KILOJOULE', 'convert': {'mul': '1000'}, 'symbol': 'kJ'}]"
Force,NEWTON,"[{'code': 'MILLINEWTON', 'convert': {'mul': '0.001'}, 'symbol': 'mN'}, {'code': 'NEWTON', 'convert': {'mul': '1'}, 'symbol': 'N'}, {'code': 'KILONEWTON', 'convert': {'mul': '1000'}, 'symbol': 'kN'}, {'code': 'MEGANEWTON', 'convert': {'mul': '1000000'}, 'symbol': 'MN'}]"
