code,family,family_variant,parent,categories,values,created,updated,associations,quantified_associations
amor,clothing,clothing_colorsize,,"['master_men_blazers', 'supplier_zaro']","{'supplier': [{'locale': None, 'scope': None, 'data': 'zaro'}], 'wash_temperature': [{'locale': None, 'scope': None, 'data': '800'}], 'collection': [{'locale': None, 'scope': None, 'data': ['summer_2016']}], 'price': [{'locale': None, 'scope': None, 'data': [{'amount': '999.00', 'currency': 'EUR'}]}], 'name': [{'locale': None, 'scope': None, 'data': 'Heritage jacket navy'}], 'erp_name': [{'locale': 'en_US', 'scope': None, 'data': 'Amor'}], 'description': [{'locale': 'en_US', 'scope': 'ecommerce', 'data': 'Heritage jacket navy blue tweed suit with single breasted 2 button. 53% wool, 22% polyester, 18% acrylic, 5% nylon, 1% cotton, 1% viscose. Dry Cleaning uniquement.Le mannequin measuring 1m85 and wears UK size 40, size 50 FR'}]}",2022-02-18T12:17:20+00:00,2022-02-18T12:17:21+00:00,"{'PACK': {'products': [], 'product_models': [], 'groups': []}, 'SUBSTITUTION': {'products': [], 'product_models': [], 'groups': []}, 'UPSELL': {'products': [], 'product_models': [], 'groups': []}, 'X_SELL': {'products': [], 'product_models': [], 'groups': []}}",{}
brooksblue,shoes,shoes_size,,['master_men_shoes'],"{'color': [{'locale': None, 'scope': None, 'data': 'blue'}], 'collection': [{'locale': None, 'scope': None, 'data': ['summer_2017']}], 'name': [{'locale': None, 'scope': None, 'data': 'Brooks blue'}], 'erp_name': [{'locale': 'en_US', 'scope': None, 'data': 'Brooks blue'}], 'variation_name': [{'locale': 'en_US', 'scope': None, 'data': 'Brooks blue'}], 'description': [{'locale': 'en_US', 'scope': 'ecommerce', 'data': 'Brooks blue'}]}",2022-02-18T12:17:20+00:00,2022-02-18T12:17:21+00:00,"{'PACK': {'products': [], 'product_models': [], 'groups': []}, 'SUBSTITUTION': {'products': [], 'product_models': [], 'groups': []}, 'UPSELL': {'products': [], 'product_models': [], 'groups': []}, 'X_SELL': {'products': [], 'product_models': [], 'groups': []}}",{}
brookspink,shoes,shoes_size,,['master_women_shoes'],"{'color': [{'locale': None, 'scope': None, 'data': 'pink'}], 'collection': [{'locale': None, 'scope': None, 'data': ['summer_2017']}], 'name': [{'locale': None, 'scope': None, 'data': 'Brooks pink'}], 'erp_name': [{'locale': 'en_US', 'scope': None, 'data': 'Brooks pink'}], 'variation_name': [{'locale': 'en_US', 'scope': None, 'data': 'Brooks pink'}], 'description': [{'locale': 'en_US', 'scope': 'ecommerce', 'data': 'Brooks pink'}]}",2022-02-18T12:17:20+00:00,2022-02-18T12:17:21+00:00,"{'PACK': {'products': [], 'product_models': [], 'groups': []}, 'SUBSTITUTION': {'products': [], 'product_models': [], 'groups': []}, 'UPSELL': {'products': [], 'product_models': [], 'groups': []}, 'X_SELL': {'products': [], 'product_models': [], 'groups': []}}",{}
caelus,clothing,clothing_color_size,,"['master_men_blazers_deals', 'supplier_mongo']","{'supplier': [{'locale': None, 'scope': None, 'data': 'mongo'}], 'wash_temperature': [{'locale': None, 'scope': None, 'data': '600'}], 'collection': [{'locale': None, 'scope': None, 'data': ['summer_2016']}], 'price': [{'locale': None, 'scope': None, 'data': [{'amount': '999.00', 'currency': 'EUR'}]}], 'name': [{'locale': None, 'scope': None, 'data': 'Tuxedo with animal print'}], 'erp_name': [{'locale': 'en_US', 'scope': None, 'data': 'Caelus'}], 'description': [{'locale': 'en_US', 'scope': 'ecommerce', 'data': 'Get ready to party in this tuxedo with animal print grabbing composed of a single-breasted jacket with 2 buttons and matching pants. Our skinny suits offer a perfect contemporary snowstorm.\nThe model is 1.85 meters (6 feet 1 inch), wears a size 40 jacket and pants 32R.\nDry clean only.'}]}",2022-02-18T12:17:20+00:00,2022-02-18T12:17:21+00:00,"{'PACK': {'products': [], 'product_models': [], 'groups': []}, 'SUBSTITUTION': {'products': [], 'product_models': [], 'groups': []}, 'UPSELL': {'products': [], 'product_models': [], 'groups': []}, 'X_SELL': {'products': [], 'product_models': [], 'groups': []}}",{}
climbingshoe,shoes,shoes_size,,"['master_men_shoes', 'print_shoes', 'supplier_abibas']","{'supplier': [{'locale': None, 'scope': None, 'data': 'abibas'}], 'collection': [{'locale': None, 'scope': None, 'data': ['summer_2017']}], 'price': [{'locale': None, 'scope': None, 'data': [{'amount': '258.00', 'currency': 'EUR'}]}], 'image': [{'locale': None, 'scope': None, 'data': '3/6/d/a/36da5c1695cf175bc3cf2aa7a074223c73300ae6_climbingshoe.jpg', '_links': {'download': {'href': 'http://localhost:8080/api/rest/v1/media-files/3/6/d/a/36da5c1695cf175bc3cf2aa7a074223c73300ae6_climbingshoe.jpg/download'}}}], 'name': [{'locale': None, 'scope': None, 'data': 'climbingshoe'}], 'erp_name': [{'locale': 'en_US', 'scope': None, 'data': 'Climbing shoe'}]}",2022-02-18T12:17:20+00:00,2022-02-18T12:17:21+00:00,"{'PACK': {'products': [], 'product_models': [], 'groups': []}, 'SUBSTITUTION': {'products': [], 'product_models': [], 'groups': []}, 'UPSELL': {'products': [], 'product_models': [], 'groups': []}, 'X_SELL': {'products': [], 'product_models': [], 'groups': []}}",{}
converseblack,shoes,shoes_size,,"['master_men_shoes', 'master_women_shoes']","{'color': [{'locale': None, 'scope': None, 'data': 'black'}], 'collection': [{'locale': None, 'scope': None, 'data': ['summer_2017']}], 'image': [{'locale': None, 'scope': None, 'data': '7/3/2/9/73296e090ddb391ead632a264d7d91be2ac8ba92_feet_1842328_960_720.jpg', '_links': {'download': {'href': 'http://localhost:8080/api/rest/v1/media-files/7/3/2/9/73296e090ddb391ead632a264d7d91be2ac8ba92_feet_1842328_960_720.jpg/download'}}}], 'name': [{'locale': None, 'scope': None, 'data': 'Converse black'}], 'erp_name': [{'locale': 'en_US', 'scope': None, 'data': 'Converse black'}], 'variation_name': [{'locale': 'en_US', 'scope': None, 'data': 'Converse black'}], 'description': [{'locale': 'en_US', 'scope': 'ecommerce', 'data': 'Converse black'}]}",2022-02-18T12:17:20+00:00,2022-02-18T12:17:21+00:00,"{'PACK': {'products': [], 'product_models': [], 'groups': []}, 'SUBSTITUTION': {'products': [], 'product_models': [], 'groups': []}, 'UPSELL': {'products': [], 'product_models': [], 'groups': []}, 'X_SELL': {'products': [], 'product_models': [], 'groups': []}}",{}
conversered,shoes,shoes_size,,"['master_men_shoes', 'master_women_shoes']","{'color': [{'locale': None, 'scope': None, 'data': 'red'}], 'collection': [{'locale': None, 'scope': None, 'data': ['summer_2017']}], 'image': [{'locale': None, 'scope': None, 'data': '2/f/a/d/2fad1b05123365dc36a5a2a4888fbbead42efc06_converse_932667_960_720.jpg', '_links': {'download': {'href': 'http://localhost:8080/api/rest/v1/media-files/2/f/a/d/2fad1b05123365dc36a5a2a4888fbbead42efc06_converse_932667_960_720.jpg/download'}}}], 'name': [{'locale': None, 'scope': None, 'data': 'Converse red'}], 'erp_name': [{'locale': 'en_US', 'scope': None, 'data': 'Converse red'}], 'variation_name': [{'locale': 'en_US', 'scope': None, 'data': 'Converse red'}], 'description': [{'locale': 'en_US', 'scope': 'ecommerce', 'data': 'Converse red'}]}",2022-02-18T12:17:20+00:00,2022-02-18T12:17:21+00:00,"{'PACK': {'products': [], 'product_models': [], 'groups': []}, 'SUBSTITUTION': {'products': [], 'product_models': [], 'groups': []}, 'UPSELL': {'products': [], 'product_models': [], 'groups': []}, 'X_SELL': {'products': [], 'product_models': [], 'groups': []}}",{}
derby,shoes,shoes_size,,"['master_men_shoes', 'print_shoes', 'supplier_abibas']","{'supplier': [{'locale': None, 'scope': None, 'data': 'abibas'}], 'collection': [{'locale': None, 'scope': None, 'data': ['summer_2016']}], 'price': [{'locale': None, 'scope': None, 'data': [{'amount': '123.00', 'currency': 'EUR'}]}], 'name': [{'locale': None, 'scope': None, 'data': 'derby'}], 'erp_name': [{'locale': 'en_US', 'scope': None, 'data': 'Derby shoe'}]}",2022-02-18T12:17:20+00:00,2022-02-18T12:17:21+00:00,"{'PACK': {'products': [], 'product_models': [], 'groups': []}, 'SUBSTITUTION': {'products': [], 'product_models': [], 'groups': []}, 'UPSELL': {'products': [], 'product_models': [], 'groups': []}, 'X_SELL': {'products': [], 'product_models': [], 'groups': []}}",{}
diana,clothing,clothing_color_size,,"['master_women_dresses', 'print_clothing', 'supplier_zaro']","{'supplier': [{'locale': None, 'scope': None, 'data': 'zaro'}], 'wash_temperature': [{'locale': None, 'scope': None, 'data': '400'}], 'collection': [{'locale': None, 'scope': None, 'data': ['winter_2016']}], 'price': [{'locale': None, 'scope': None, 'data': [{'amount': '149.00', 'currency': 'EUR'}]}], 'image': [{'locale': None, 'scope': None, 'data': 'f/1/a/1/f1a12b65455762815d33bfb00e4a94b1c857ab24_diana2.jpg', '_links': {'download': {'href': 'http://localhost:8080/api/rest/v1/media-files/f/1/a/1/f1a12b65455762815d33bfb00e4a94b1c857ab24_diana2.jpg/download'}}}], 'name': [{'locale': None, 'scope': None, 'data': 'diana'}], 'erp_name': [{'locale': 'en_US', 'scope': None, 'data': 'Diana'}], 'description': [{'locale': 'en_US', 'scope': 'ecommerce', 'data': 'Length: Short\nLining: 100% polyester\nModel: Model is 179 cm and wears a size 36\nCervical Shape: Deep V-neck\nTotal length: 88 cm in size 36\nAdditional Info: zip, lined\nHandle Type: Sleeveless\nComposition: 100% nylon\nCare instructions: hand wash'}]}",2022-02-18T12:17:20+00:00,2022-02-18T12:17:21+00:00,"{'PACK': {'products': [], 'product_models': [], 'groups': []}, 'SUBSTITUTION': {'products': [], 'product_models': [], 'groups': []}, 'UPSELL': {'products': [], 'product_models': [], 'groups': []}, 'X_SELL': {'products': [], 'product_models': [], 'groups': []}}",{}
dionysos,clothing,clothing_colorsize,,"['master_men_blazers_deals', 'supplier_zaro']","{'supplier': [{'locale': None, 'scope': None, 'data': 'zaro'}], 'wash_temperature': [{'locale': None, 'scope': None, 'data': '800'}], 'price': [{'locale': None, 'scope': None, 'data': [{'amount': '1099.00', 'currency': 'EUR'}]}], 'name': [{'locale': None, 'scope': None, 'data': 'Black-breasted jacket'}], 'erp_name': [{'locale': 'en_US', 'scope': None, 'data': 'Dionysos'}]}",2022-02-18T12:17:20+00:00,2022-02-18T12:17:21+00:00,"{'PACK': {'products': [], 'product_models': [], 'groups': []}, 'SUBSTITUTION': {'products': [], 'product_models': [], 'groups': []}, 'UPSELL': {'products': [], 'product_models': [], 'groups': []}, 'X_SELL': {'products': [], 'product_models': [], 'groups': []}}",{}
