__id__,icecat_brand_fixed,icecat_description_short,icecat_name,icecat_summary_short,icecat_title,generation,model
104889,mobiparts,"{'grip', 'galaxi', 's20', 'black', 'tough', 'mobipart', 'case', 'rug', 'samsung'}",{'104889'},"{'galaxi', '6.2', 's20', 'cover', 'black', 'mobipart', '104889', 'samsung'}","{'mobil', '6.2', 'phone', 'cover', 'black', 'case', 'mobipart', '104889'}",0,4
MP-104927,mobiparts,"{'scarlet', 'galaxi', 'silicon', 'red', 's20', 'cover', 'mobipart', 'samsung'}",{'mp-104927'},"{'galaxi', '6.2', 'red', 's20', 'cover', 'mobipart', 'mp-104927', 'samsung'}","{'mobil', '6.2', 'red', 'phone', 'cover', 'case', 'mobipart', 'mp-104927'}",0,7
MP-104925,mobiparts,"{'galaxi', 'silicon', 'green', 's20', 'pistach', 'cover', 'mobipart', 'samsung'}",{'mp-104925'},"{'galaxi', '6.2', 'green', 's20', 'cover', 'mobipart', 'mp-104925', 'samsung'}","{'mobil', '6.2', 'green', 'phone', 'cover', 'case', 'mobipart', 'mp-104925'}",0,7
MP-108422,mobiparts,"{'blue', 'galaxi', 'silicon', 's20', 'cover', 'blueberri', 'mobipart', 'samsung'}",{'mp-108422'},"{'blue', 'galaxi', '6.2', 's20', 'cover', 'mobipart', 'samsung', 'mp-108422'}","{'mobil', 'blue', '6.2', 'phone', 'cover', 'case', 'mobipart', 'mp-108422'}",0,7
MP-104926,mobiparts,"{'royal', 'galaxi', 'silicon', 's20', 'cover', 'grey', 'mobipart', 'samsung'}",{'mp-104926'},"{'gray', 'galaxi', 'mp-104926', '6.2', 's20', 'cover', 'mobipart', 'samsung'}","{'mobil', 'gray', '6.2', 'mp-104926', 'phone', 'cover', 'case', 'mobipart'}",0,7
MP-104938,mobiparts,"{'tpu', 'galaxi', 's20', 'black', 'case', 'mobipart', 'classic', 'samsung'}",{'mp-104938'},"{'galaxi', '6.2', 's20', 'cover', 'black', 'mobipart', 'mp-104938', 'samsung'}","{'mobil', '6.2', 'phone', 'cover', 'black', 'case', 'mobipart', 'mp-104938'}",0,3
MP-104924,mobiparts,"{'galaxi', 'silicon', 's20', 'cover', 'black', 'mobipart', 'samsung'}",{'mp-104924'},"{'galaxi', '6.2', 'mp-104924', 's20', 'cover', 'black', 'mobipart', 'samsung'}","{'mobil', '6.2', 'mp-104924', 'phone', 'cover', 'black', 'case', 'mobipart'}",0,7
MP-107808,mobiparts,"{'scarlet', 'galaxi', 'silicon', 'red', 's20', 'cover', 'mobipart', 'plus', 'samsung'}",{'mp-107808'},"{'galaxi', 'red', 's20', '6.7', 'cover', 'mobipart', 'mp-107808', 'plus', 'samsung'}","{'mobil', 'red', '6.7', 'phone', 'cover', 'case', 'mobipart', 'mp-107808'}",0,7
MP-108423,mobiparts,"{'blue', 'galaxi', 'silicon', 's20', 'cover', 'blueberri', 'mobipart', 'plus', 'samsung'}",{'mp-108423'},"{'blue', 'galaxi', 's20', '6.7', 'cover', 'mobipart', 'mp-108423', 'plus', 'samsung'}","{'mobil', 'blue', '6.7', 'phone', 'cover', 'case', 'mobipart', 'mp-108423'}",0,7
MP-107805,mobiparts,"{'galaxi', 'silicon', 's20', 'cover', 'black', 'mobipart', 'plus', 'samsung'}",{'mp-107805'},"{'galaxi', 's20', 'mp-107805', '6.7', 'cover', 'black', 'mobipart', 'plus', 'samsung'}","{'mobil', '6.7', 'mp-107805', 'phone', 'cover', 'black', 'case', 'mobipart'}",0,7
