code,locale_en,locale_de
battery,Battery,Batterie
camera,Camera,Kamera
certificates,Certificates,Zertifikate
design,Design,Design
display,Display,Display
features,Features,Features
logistics_data,Logistics data,Logistische Daten
messaging,Messaging,Messaging
multimedia,Multimedia,Multimedia
navigation,Navigation,Navigation
network,Network,Netzwerk
operational_conditions,Operational conditions,Betriebsvorraussetzungen
packaging_content,Packaging content,Verpackungsinhalt
packaging_data,Packaging data,Verpackungsdaten
performance,Performance,Performance
ports_and_interfaces,Ports & interfaces,Ports & Schnittstellen
processor,Processor,Prozessor
sensors,Sensors,Sensoren
software,Software,Software
storage,Storage,Speicher
subscription,Subscription,Abos
technical_details,Technical details,Technische Details
weight_and_dimensions,Weight & dimensions,Gewicht & Abmessung
