code,type_akeneo,type_icecat,target_type
icecat_brand,pim_catalog_text,dropdown,pim_catalog_simpleselect
icecat_1024,pim_catalog_text,dropdown,pim_catalog_simpleselect
icecat_12435,pim_catalog_text,numerical,pim_catalog_number
icecat_12437,pim_catalog_text,numerical,pim_catalog_number
icecat_13246,pim_catalog_text,numerical,pim_catalog_number
icecat_13248,pim_catalog_simpleselect,multi_dropdown,pim_catalog_multiselect
icecat_1389,pim_catalog_text,numerical,pim_catalog_number
icecat_14695,pim_catalog_simpleselect,multi_dropdown,pim_catalog_multiselect
icecat_1503,pim_catalog_simpleselect,multi_dropdown,pim_catalog_multiselect
icecat_1574,pim_catalog_text,dropdown,pim_catalog_simpleselect
icecat_16923,pim_catalog_simpleselect,multi_dropdown,pim_catalog_multiselect
icecat_1742,pim_catalog_simpleselect,multi_dropdown,pim_catalog_multiselect
icecat_1766,pim_catalog_simpleselect,multi_dropdown,pim_catalog_multiselect
icecat_17669,pim_catalog_text,numerical,pim_catalog_number
icecat_17670,pim_catalog_text,numerical,pim_catalog_number
icecat_1809,pim_catalog_simpleselect,multi_dropdown,pim_catalog_multiselect
icecat_1830,pim_catalog_simpleselect,multi_dropdown,pim_catalog_multiselect
icecat_2102,pim_catalog_simpleselect,multi_dropdown,pim_catalog_multiselect
icecat_2196,pim_catalog_text,dropdown,pim_catalog_simpleselect
icecat_2224,pim_catalog_simpleselect,multi_dropdown,pim_catalog_multiselect
icecat_27575,pim_catalog_text,dropdown,pim_catalog_simpleselect
icecat_27588,pim_catalog_text,numerical,pim_catalog_number
icecat_27597,pim_catalog_text,numerical,pim_catalog_number
icecat_27598,pim_catalog_text,numerical,pim_catalog_number
icecat_27601,pim_catalog_text,numerical,pim_catalog_number
icecat_2963,pim_catalog_simpleselect,multi_dropdown,pim_catalog_multiselect
icecat_35935,pim_catalog_text,numerical,pim_catalog_number
icecat_35936,pim_catalog_text,numerical,pim_catalog_number
icecat_36910,pim_catalog_text,numerical,pim_catalog_number
icecat_36911,pim_catalog_text,numerical,pim_catalog_number
icecat_36912,pim_catalog_text,numerical,pim_catalog_number
icecat_37533,pim_catalog_text,numerical,pim_catalog_number
icecat_38395,pim_catalog_text,numerical,pim_catalog_number
icecat_38691,pim_catalog_text,numerical,pim_catalog_number
icecat_40712,pim_catalog_simpleselect,multi_dropdown,pim_catalog_multiselect
icecat_4133,pim_catalog_simpleselect,multi_dropdown,pim_catalog_multiselect
icecat_42369,pim_catalog_simpleselect,multi_dropdown,pim_catalog_multiselect
icecat_42370,pim_catalog_text,numerical,pim_catalog_number
icecat_42371,pim_catalog_text,numerical,pim_catalog_number
icecat_42372,pim_catalog_text,numerical,pim_catalog_number
icecat_42513,pim_catalog_simpleselect,multi_dropdown,pim_catalog_multiselect
icecat_42514,pim_catalog_simpleselect,multi_dropdown,pim_catalog_multiselect
icecat_42516,pim_catalog_simpleselect,multi_dropdown,pim_catalog_multiselect
icecat_42521,pim_catalog_simpleselect,multi_dropdown,pim_catalog_multiselect
icecat_432,pim_catalog_simpleselect,multi_dropdown,pim_catalog_multiselect
icecat_442,pim_catalog_text,dropdown,pim_catalog_simpleselect
icecat_4463,pim_catalog_text,dropdown,pim_catalog_simpleselect
icecat_454,pim_catalog_simpleselect,multi_dropdown,pim_catalog_multiselect
icecat_4851,pim_catalog_simpleselect,multi_dropdown,pim_catalog_multiselect
icecat_5214,pim_catalog_simpleselect,multi_dropdown,pim_catalog_multiselect
icecat_614,pim_catalog_text,dropdown,pim_catalog_simpleselect
icecat_6697,pim_catalog_text,dropdown,pim_catalog_simpleselect
icecat_6893,pim_catalog_simpleselect,multi_dropdown,pim_catalog_multiselect
icecat_730,pim_catalog_simpleselect,multi_dropdown,pim_catalog_multiselect
icecat_75,pim_catalog_text,dropdown,pim_catalog_simpleselect
icecat_7515,pim_catalog_text,numerical,pim_catalog_number
icecat_771,pim_catalog_text,dropdown,pim_catalog_simpleselect
icecat_7986,pim_catalog_simpleselect,multi_dropdown,pim_catalog_multiselect
icecat_7987,pim_catalog_simpleselect,multi_dropdown,pim_catalog_multiselect
icecat_8072,pim_catalog_simpleselect,multi_dropdown,pim_catalog_multiselect
icecat_8367,pim_catalog_simpleselect,multi_dropdown,pim_catalog_multiselect
icecat_8745,pim_catalog_simpleselect,multi_dropdown,pim_catalog_multiselect
icecat_898,pim_catalog_simpleselect,multi_dropdown,pim_catalog_multiselect
icecat_9780,pim_catalog_simpleselect,multi_dropdown,pim_catalog_multiselect
