parent,code,en,de
,master,Master,Master
master,samsung,Samsung,Samsung
samsung,s20_series,S20 Series,S20-Reihe
s20_series,s20,S20,S20
s20_series,s20_plus,S20+,S20+
s20_series,s20_ultra,S20 Ultra,S20 Ultra
s20_series,s20_fe,S20 FE,S20 FE
samsung,s21_series,S21 Series,S21-Reihe
s21_series,s21,S21,S21
s21_series,s21_plus,S21+,S21+
s21_series,s21_ultra,S21 Ultra,S21 Ultra
s21_series,s21_fe,S21 FE,S21 FE
samsung,s22_series,S22 Series,S22-Reihe
s22_series,s22,S22,S22
s22_series,s22_plus,S22+,S22+
s22_series,s22_ultra,S22 Ultra,S22 Ultra
